year,reporter_region,count
1968,Domestic,107
1969,Domestic,5150
1969,Foreign,283
1970,Domestic,16687
1970,Foreign,1259
1970,Not Specified,1
1971,Domestic,12344
1971,Foreign,812
1972,Domestic,9214
1972,Foreign,423
1973,Domestic,11167
1973,Foreign,210
1974,Domestic,9136
1974,Foreign,117
1975,Domestic,10370
1975,Foreign,245
1976,Domestic,10590
1976,Foreign,231
1977,Domestic,13397
1977,Foreign,344
1978,Domestic,9284
1978,Foreign,151
1979,Domestic,8055
1979,Foreign,188
1980,Domestic,12575
1980,Foreign,337
1981,Domestic,14021
1981,Foreign,479
1982,Domestic,22767
1982,Foreign,938
1983,Domestic,29895
1983,Foreign,2125
1983,Not Specified,1
1984,Domestic,28982
1984,Foreign,3640
1984,Not Specified,1
1985,Domestic,33883
1985,Foreign,4916
1986,Domestic,47585
1986,Foreign,8343
1987,Domestic,47001
1987,Foreign,7758
1988,Domestic,46689
1988,Foreign,4449
1989,Domestic,56125
1989,Foreign,4555
1989,Not Specified,2
1990,Domestic,70543
1990,Foreign,4658
1991,Domestic,69759
1991,Foreign,5529
1991,Not Specified,2
1992,Domestic,98584
1992,Foreign,7368
1992,Not Specified,2
1993,Domestic,114839
1993,Foreign,9356
1993,Not Specified,3
1994,Domestic,119443
1994,Foreign,9675
1994,Not Specified,4
1995,Domestic,130486
1995,Foreign,11172
1995,Not Specified,9
1996,Domestic,156589
1996,Foreign,15553
1996,Not Specified,62
1997,Domestic,171016
1997,Foreign,20820
1997,Not Specified,6398
1998,Domestic,119682
1998,Foreign,35185
1998,Not Specified,5023
1999,Domestic,175323
1999,Foreign,42735
1999,Not Specified,6305
2000,Domestic,142433
2000,Foreign,52768
2000,Not Specified,4598
2001,Domestic,133846
2001,Foreign,65310
2001,Not Specified,4052
2002,Domestic,114012
2002,Foreign,68454
2002,Not Specified,2413
2003,Domestic,149977
2003,Foreign,74681
2003,Not Specified,576
2004,Domestic,185710
2004,Foreign,86376
2004,Not Specified,745
2005,Domestic,217506
2005,Foreign,103872
2005,Not Specified,501
2006,Domestic,226474
2006,Foreign,108545
2006,Not Specified,651
2007,Domestic,235346
2007,Foreign,127662
2007,Not Specified,317
2008,Domestic,288421
2008,Foreign,150819
2008,Not Specified,431
2009,Domestic,309756
2009,Foreign,180021
2009,Not Specified,631
2010,Domestic,458185
2010,Foreign,213568
2010,Not Specified,887
2011,Domestic,524608
2011,Foreign,255691
2011,Not Specified,1328
2012,Domestic,629710
2012,Foreign,299183
2012,Not Specified,1286
2013,Domestic,714245
2013,Foreign,354003
2013,Not Specified,345
2014,Domestic,825481
2014,Foreign,372509
2014,Not Specified,443
2015,Domestic,1286196
2015,Foreign,431881
2015,Not Specified,1714
2016,Domestic,1185345
2016,Foreign,496222
2016,Not Specified,1806
2017,Domestic,1252674
2017,Foreign,552297
2017,Not Specified,39
2018,Domestic,1416535
2018,Foreign,723599
2018,Not Specified,15
2019,Domestic,1437654
2019,Foreign,737609
2019,Not Specified,21
2020,Domestic,1482010
2020,Foreign,720111
2020,Not Specified,693
2021,Domestic,1612279
2021,Foreign,714730
2021,Not Specified,1581
2022,Domestic,1559069
2022,Foreign,776869
2022,Not Specified,1161
2023,Domestic,1388324
2023,Foreign,766023
2023,Not Specified,108
2024,Domestic,1261744
2024,Foreign,779863
2024,Not Specified,222
